GEOID,obesity_cr,% Black,% Ame Indi and AK Native,% Asian,% Nati Hawa and Paci Island,% Hispanic or Latino,% male,% married,% age 18-29,% age 30-39,% age 40-49,% age 50-59,% age >=60,% <highschool,median income,% unemployment,% below poverty line,% food stamp/SNAP,median value units built,median year units built,% renter-occupied housing units,population density
36081049900,19.7,0.008658009,0.045360437,0.592132505,0,0.185017881,0.4914361,0.465136805,0.182947487,0.159608507,0.163372859,0.11820064,0.175983437,0.204730618,57058,0.081284153,0.091097308,0.090409285,700800,1953,0.546120953,11497.06352
36081060100,26.5,0.020833333,0,0.037037037,0,0.460185185,0.474537037,0.550441362,0.101388889,0.131018519,0.145833333,0.133333333,0.178703704,0.169343066,68833,0.028601695,0.139328984,0.119047619,586400,1939,0.580687831,13995.34784
36081059200,32.5,0.959084605,0,0,0,0.012482663,0.475728155,0.45755861,0.127600555,0.104022191,0.131067961,0.213592233,0.261442441,0.106074343,114375,0.099435028,0.037947997,0.128787879,425200,1952,0.04040404,6379.994602
36081059800,31.5,0.909300982,0,0.003466205,0,0.039861352,0.489312536,0.486111111,0.102830734,0.16175621,0.165222415,0.171577123,0.201039861,0.050940439,89528,0.022222222,0.054303871,0.073813708,421700,1944,0.202108963,8388.090946
36081059300,24.8,0.007445323,0.002093997,0.056305258,0,0.261516985,0.491856678,0.545857578,0.174267101,0.151465798,0.151931131,0.120521173,0.210330386,0.120558376,64731,0.068708609,0.092855481,0.063417891,575900,1939,0.663551402,17055.82628
36081059400,31.7,0.958038147,0,0.002179837,0,0.054495913,0.453405995,0.362461538,0.165122616,0.111716621,0.118256131,0.171662125,0.286648501,0.087103309,106181,0.056550424,0.02506812,0.061452514,411800,1947,0.115456238,8268.335654
36081059500,26.6,0.01056006,0.005468603,0.060154629,0,0.433339619,0.464831228,0.558912387,0.149160852,0.189703941,0.138977937,0.120309259,0.172355271,0.144423643,73581,0.098704935,0.121504157,0.133128834,614900,1939,0.619018405,13397.74085
36081059900,24.8,0.011041009,0,0.036277603,0,0.249211356,0.492113565,0.529259897,0.217665615,0.058359621,0.15851735,0.153785489,0.292586751,0.141141141,62500,0.088193457,0.108557845,0.011538462,543800,1939,0.321153846,9983.780294
36081060800,32.2,0.960344828,0,0,0,0.032758621,0.485632184,0.406520293,0.159770115,0.095977011,0.157471264,0.143678161,0.262068966,0.12962963,99375,0.026229508,0.036046512,0.139072848,436200,1944,0.105960265,8233.295637
36081060000,31.5,0.945614035,0.015789474,0.003508772,0,0.060526316,0.486842105,0.406496063,0.138596491,0.125438596,0.121052632,0.188596491,0.281578947,0.086659065,86875,0.050691244,0.015789474,0.087301587,423900,1947,0.079365079,6454.279357
36081060600,32.2,0.885507246,0,0.004347826,0,0.064492754,0.399275362,0.45378851,0.136956522,0.086231884,0.115217391,0.221014493,0.275362319,0.102021174,79514,0.019444444,0.050724638,0.091858038,434100,1948,0.096033403,6413.14602
36081061400,32.3,0.885462555,0,0.016886931,0,0.088839941,0.490455213,0.484739677,0.131424376,0.13215859,0.167400881,0.101321586,0.268722467,0.059777102,111667,0.091040462,0.063142438,0.025380711,452200,1948,0.152284264,5286.856611
36081061602,31,0.869313482,0.007444169,0.028122415,0,0.033085194,0.492969396,0.389355742,0.155500414,0.11497105,0.133995037,0.167080232,0.272125724,0.089055794,107262,0.008237232,0.019851117,0.105714286,442400,1954,0.142857143,2864.290893
36081051800,33.2,0.962962963,0,0.003367003,0,0.034151034,0.442520443,0.413848631,0.172679173,0.143819144,0.142376142,0.135642136,0.232323232,0.175368139,77778,0.113162119,0.100529101,0.113268608,383200,1947,0.17961165,12248.72151
36081051500,25,0.007668712,0,0.048466258,0,0.26196319,0.494171779,0.449385394,0.133128834,0.189877301,0.127300613,0.15398773,0.191717791,0.107889126,80667,0.050530256,0.095398773,0.073149742,426500,1951,0.314113597,14538.38401
36081051600,35.3,0.874566187,0.003470501,0,0,0.116013882,0.546355974,0.378216637,0.178482895,0.141794745,0.163609321,0.126425384,0.1993059,0.152777778,61071,0.199078341,0.143996014,0.283216783,424500,1945,0.412587413,10948.80605
36081051700,26.9,0.000507872,0,0.024885729,0,0.375825292,0.479431183,0.487745098,0.092432707,0.176739462,0.141696293,0.169121381,0.215337735,0.191734417,74702,0.035190616,0.08346056,0.051209104,609500,1939,0.557610242,7751.144563
36081050000,34,0.685922975,0,0.089641434,0,0.118415228,0.519698982,0.374616457,0.159141213,0.158255865,0.117972554,0.128818061,0.20894201,0.192827933,53627,0.07720291,0.168827991,0.18516129,561900,1957,0.841290323,13450.91221
