GEOID,obesity_cr,% Black,% Ame Indi and AK Native,% Asian,% Nati Hawa and Paci Island,% Hispanic or Latino,% male,% married,% age 18-29,% age 30-39,% age 40-49,% age 50-59,% age >=60,% <highschool,median income,% unemployment,% below poverty line,% food stamp/SNAP,median value units built,median year units built,% renter-occupied housing units,population density,fafood,fitness,park
36081099704,20.6,0.011402199,0,0.247319126,0,0.120537532,0.451201303,0.553643889,0.073978553,0.108456631,0.138319533,0.09936202,0.414144156,0.044429485,73362,0.049614792,0.101126646,0.062872629,330600,1969,0.323848238,10905.20451,0.64171123,0.562611408,0.805926916
36081099705,20.1,0,0,0.437406855,0,0.104694486,0.511922504,0.574672489,0.15685544,0.09538003,0.133010432,0.191505216,0.253353204,0.078817734,108009,0.015394913,0.077123696,0.032227488,624400,1981,0.275829384,539.3522364,0.742086144,0.552672548,1.1831863
36081099801,31.4,0.699515347,0,0.019616894,0,0.196399723,0.445303485,0.523645249,0.179667667,0.15035772,0.113201015,0.14839603,0.170436187,0.176209952,81250,0.050873701,0.089737527,0.144133644,396700,1958,0.728049728,18984.90146,0.523356996,0.174147012,0.53766888
36081093402,24.6,0.043719485,0,0.064802486,0,0.077008433,0.494229916,0.488633394,0.115845539,0.156458056,0.108965823,0.189081225,0.255881047,0.097254005,88750,0.081508516,0.089669052,0.105937136,579400,1942,0.535506403,5273.074088,0.521183346,0.296566837,1.394448503
36081100802,31.2,0.463479123,0,0.041203041,0,0.220447284,0.488597554,0.502122498,0.193676325,0.094524623,0.105871984,0.133083618,0.140024237,0.199272433,60294,0.116806532,0.163332965,0.288115715,464000,1959,0.567240031,7672.606167,0.541005986,0.175574924,0.615037278
36081075702,20,0.011881188,0.003080308,0.298789879,0,0.082068207,0.420462046,0.513726556,0.082068207,0.149834983,0.117711771,0.130693069,0.308030803,0.048532403,95065,0.043802015,0.114037096,0.038406145,409900,1954,0.333653385,12893.43414,0.376972138,0.559919436,0.726082578
36081079701,19.2,0.039371235,0,0.798442779,0.001175261,0.039518143,0.406199501,0.59478506,0.118995152,0.104892023,0.143381813,0.121345674,0.322902894,0.193111455,33071,0.019644881,0.244196297,0.221471738,351000,1963,0.759331674,61187.61686,0.317524581,0.268556005,0.582224793
36081044302,24.8,0.130182997,0.002548066,0.398424832,0,0.447069724,0.533240676,0.426735219,0.184618948,0.138058837,0.129951355,0.125550151,0.188556868,0.319552694,49194,0.057950858,0.182344764,0.276190476,531600,1962,0.611904762,15540.12462,0.573537844,0.289134174,0.556909404
36081129103,22.4,0.026442919,0,0.277904907,0,0.094075769,0.533435037,0.536948749,0.073226545,0.153318078,0.090261887,0.183574879,0.320620392,0.053588517,62784,0.040592168,0.122044241,0.063168619,225100,1956,0.193581253,8581.827386,0.661115414,0.434159566,1.311386522
36081129104,20.4,0.020380124,0,0.46256011,0,0.117700939,0.445843829,0.604347826,0.08907717,0.155942294,0.112892146,0.187542936,0.273643233,0.094399538,81518,0.033616849,0.036638425,0.024625268,248400,1954,0.200749465,6169.072421,0.807619048,0.49968254,1.065714286
36081071303,20.6,0.019005031,0,0.168064095,0,0.170858953,0.494689771,0.558998302,0.146264207,0.162660704,0.14346935,0.15371716,0.254332029,0.04032634,86520,0.003573556,0.058692007,0.03803132,314100,1951,0.667785235,38179.45125,0.373356327,0.502047855,1.219874973
36081071304,23.6,0.039828326,0,0.251330472,0,0.112103004,0.467296137,0.491538462,0.119313305,0.151072961,0.093562232,0.153991416,0.354849785,0.088417148,49896,0.046374105,0.177167382,0.200788695,275200,1956,0.672034177,37634.7907,0.491924924,0.628328241,0.732867743
36081071305,19.6,0.024428376,0,0.29978503,0,0.224154778,0.452804378,0.547316856,0.156341606,0.169044362,0.218291968,0.092046121,0.222395935,0.071428571,78213,0.027144408,0.063709205,0.062222222,390200,1959,0.78989899,37925.33519,0.371692308,0.839692308,0.756923077
36081071701,22.5,0.047950657,0,0.31655392,0,0.099880621,0.445682451,0.471066908,0.126144051,0.162952646,0.107640271,0.132510943,0.3402308,0.083911069,62857,0.036679537,0.148826104,0.110662359,262900,1957,0.542003231,26458.20173,0.513892365,0.565206508,0.715394243
36081071702,22,0.100447016,0,0.440441757,0,0.117012885,0.446489613,0.448296654,0.174861951,0.123849592,0.097291612,0.150407573,0.318432816,0.051991897,50844,0.033651431,0.153300026,0.183084064,307700,1966,0.479628675,16763.86446,0.556200145,0.431713802,0.790427846
