GEOID,obesity_cr,% Black,% Ame Indi and AK Native,% Asian,% Nati Hawa and Paci Island,% Hispanic or Latino,% male,% married,% age 18-29,% age 30-39,% age 40-49,% age 50-59,% age >=60,% <highschool,median income,% unemployment,% below poverty line,% food stamp/SNAP,median value units built,median year units built,% renter-occupied housing units,population density
6037197500,23.7,0.069823435,0.008025682,0.161048689,0,0.476457999,0.500267523,0.33478126,0.235420011,0.223381487,0.111824505,0.113964687,0.159711075,0.272506083,64109,0.070707071,0.090422686,0.067394095,883500,1939,0.729139923,5839.037512
6037197600,23.1,0.00319052,0.020054695,0.176845943,0,0.427985415,0.482224248,0.289634146,0.250227894,0.250227894,0.128076572,0.093436645,0.160437557,0.207331042,65865,0.064136126,0.084776664,0.038176034,626300,1939,0.757158006,5652.949118
6037197700,20.6,0.030897785,0.03381267,0.437232802,0,0.308783521,0.502526234,0.359266711,0.266420521,0.172561213,0.105324524,0.101049359,0.196074621,0.319529789,44719,0.050386295,0.239992227,0.102551276,475400,1967,0.847423712,7336.368056
6037199000,25.6,0.013141084,0.004015331,0.247490418,0,0.678773499,0.534769118,0.466995959,0.1587881,0.176674576,0.196933747,0.08085417,0.153312648,0.432381466,54572,0.042440318,0.222996516,0.142063002,399200,1965,0.721432983,3512.494711
6037199110,29,0.021188044,0.010215664,0.036700719,0,0.885735906,0.525160802,0.358013121,0.150964813,0.184638668,0.128263337,0.122587968,0.197502838,0.374135178,60430,0.118086697,0.145667802,0.142068966,462900,1939,0.40137931,2931.695814
6037187102,26.9,0.011290736,0.031562741,0.22247883,0.006671799,0.596099564,0.468052348,0.492848259,0.139851168,0.207852194,0.13959456,0.086220169,0.2181165,0.256241331,53333,0.122684026,0.251099043,0.094679186,672900,1951,0.636932707,1779.728278
6037187200,26.9,0.004380054,0,0.101752022,0.005390836,0.76583558,0.493598383,0.412156863,0.272574124,0.11893531,0.177560647,0.074123989,0.186657682,0.309283309,67125,0.068801898,0.121967655,0.087542088,614200,1956,0.637485971,3121.273244
6037187300,21.6,0.02127048,0,0.174762863,0,0.202644438,0.471687266,0.396989967,0.147743604,0.244897959,0.205518827,0.116125323,0.134521414,0.050578035,94710,0.05988024,0.070997413,0.021854305,892300,1950,0.556291391,2977.831037
6037236400,31,0.810623039,0.002241147,0.009412819,0,0.098610489,0.435679068,0.386340469,0.151501569,0.11945316,0.170775437,0.166069027,0.244733303,0.032670455,64636,0.071848739,0.090542358,0.080340265,689400,1957,0.484877127,3329.999851
6037237500,37,0.246822742,0.020735786,0.000334448,0,0.740802676,0.496989967,0.390794616,0.17993311,0.129765886,0.130434783,0.121404682,0.137123746,0.454336588,33040,0.063846154,0.28032345,0.311569301,346600,1955,0.812142039,8867.798621
6037213201,26.4,0.014318707,0.012009238,0.465357968,0,0.487297921,0.469515012,0.487628244,0.141108545,0.139030023,0.116859122,0.148729792,0.171593533,0.313326188,30335,0.072576717,0.336258661,0.172136638,608000,1961,0.935030141,12933.28753
6037213202,27.4,0.013926085,0.005623996,0.269416176,0,0.656936261,0.500535619,0.363458401,0.207552223,0.186930905,0.115693626,0.103374397,0.189876808,0.351434034,37656,0.092936803,0.27557579,0.117331288,577800,1943,0.829754601,11054.79436
6037128302,32.5,0.039321192,0,0.026490066,0,0.770695364,0.52897351,0.383161079,0.21419702,0.165976821,0.14714404,0.127897351,0.110306291,0.426245523,45508,0.082319256,0.251241722,0.174324324,362200,1969,0.82972973,7016.850898
6037134306,25.5,0.081731939,0.006081245,0.131598151,0,0.446363415,0.516419363,0.495098039,0.176599368,0.125030406,0.181221114,0.143517392,0.143517392,0.188,73516,0.058243728,0.163398693,0.113338473,380600,1980,0.686969931,6634.368968
6037119320,28.7,0.065112371,0,0.183154799,0,0.709304768,0.483301827,0.472828982,0.229783659,0.126654064,0.126023945,0.120352867,0.126654064,0.38155061,63375,0.093183466,0.212980466,0.161532057,341400,1985,0.726061615,9590.22486
6037294520,31.5,0.018788039,0.005821646,0.013495634,0,0.939666578,0.483196613,0.461913696,0.180735644,0.153215136,0.11722678,0.102937285,0.095792538,0.423379175,49188,0.076049943,0.210916799,0.211206897,388600,1943,0.649784483,7810.19107
6037213310,26.6,0.010309278,0.00257732,0.277491409,0,0.697308133,0.564146621,0.350409836,0.174971363,0.168098511,0.104238259,0.145475372,0.210194731,0.368885325,50337,0.065705808,0.193585338,0.08372093,610900,1947,0.871627907,11194.06573
6037213320,27.6,0.021018593,0,0.282134196,0.001616815,0.681083266,0.502021019,0.377511962,0.194017785,0.151576395,0.073160873,0.199272433,0.222312045,0.35046729,26971,0.036809816,0.190942472,0.154795821,682300,1941,0.912630579,7947.292171
6037213401,30.2,0.018732261,0,0.212109745,0,0.727530747,0.420813623,0.389814374,0.200946074,0.183916746,0.130179754,0.130558184,0.104824976,0.392867583,31536,0.076755749,0.230085147,0.192806604,464000,1969,0.995283019,26962.7725
6037214700,21,0.041322314,0.003541913,0.068476978,0.005116096,0.086973632,0.426603699,0.365724382,0.131050767,0.164108619,0.184966549,0.108618654,0.284533648,0.034090909,105522,0.085051546,0.071602929,0.01516428,1500000,1939,0.598989048,4284.283542
6037214800,20.3,0.053607552,0.002360081,0.056979096,0,0.059339177,0.39615644,0.389121339,0.228927849,0.316925152,0.102157788,0.062710722,0.17026298,0.03100159,106104,0.062757673,0.060430181,0,1357500,1944,0.74559549,5143.492338
6037216100,22,0.165413534,0,0.196815568,0,0.082264485,0.505086245,0.372303061,0.113666519,0.187969925,0.182662539,0.127377267,0.237505529,0.024617068,100781,0.05988024,0.083591331,0,954300,1939,0.406030151,3350.895523
6037216200,23.5,0.215507827,0.003458318,0.149071715,0.012195122,0.182016746,0.519839825,0.316393443,0.203312705,0.172005825,0.243356389,0.102475428,0.153076083,0.099185099,95707,0.030120482,0.128383321,0.013488198,1061900,1953,0.756463095,5699.099181
