GEOID,obesity_cr,% Black,% Ame Indi and AK Native,% Asian,% Nati Hawa and Paci Island,% Hispanic or Latino,% male,% married,% age 18-29,% age 30-39,% age 40-49,% age 50-59,% age >=60,% <highschool,median income,% unemployment,% below poverty line,% food stamp/SNAP,median value units built,median year units built,% renter-occupied housing units,population density
36029006702,30.5,0.270856303,0,0.065417126,0,0.109886071,0.508636531,0.12922843,0.297684675,0.162072767,0.064682102,0.117971334,0.321572951,0.100170503,37070,0.052930057,0.249907304,0.239181014,335600,1939,0.893904141,3431.992069
36029016300,39.8,0.101678657,0,0.006235012,0,0.304556355,0.514148681,0.345488257,0.135731415,0.135731415,0.09736211,0.184172662,0.162110312,0.263656227,28201,0.116395494,0.345323741,0.46716233,33100,1939,0.401486989,493.2004687
36029006800,30.8,0.071587655,0.005408845,0.026407891,0,0.065542475,0.570155902,0.215128383,0.321985364,0.272033089,0.091314031,0.139039135,0.08304168,0.071196094,42344,0.034081463,0.230353166,0.141051567,239200,1939,0.711830131,3622.311503
36029007000,40.1,0.259347891,0.017050553,0.020939276,0,0.394256656,0.488184266,0.344131258,0.271911457,0.096619803,0.08794496,0.091833682,0.130720909,0.291837933,20780,0.059843886,0.484962406,0.550922213,97800,1939,0.701684042,1815.35795
36029007102,41.1,0.340603417,0.010541621,0.002544529,0,0.395129044,0.434387495,0.272941176,0.202835333,0.097055616,0.114503817,0.116684842,0.202471828,0.18303312,23485,0.067219153,0.481353326,0.384375,218900,1939,0.82890625,3201.588342
36029007202,33.3,0.307993292,0.008384572,0.006148686,0,0.274455003,0.498602571,0.335009428,0.192286193,0.154835103,0.067076579,0.136948016,0.271101174,0.06661442,44219,0.093625498,0.171526587,0.237410072,406800,1972,0.658787256,884.0898421
36029016900,30.5,0.219216681,0.009016624,0.041701888,0,0.068751761,0.469991547,0.223529412,0.325443787,0.120597351,0.107917723,0.122569738,0.19047619,0.036626917,57639,0.031968032,0.232229124,0.153945666,211300,1939,0.582147477,3926.245441
36029017000,43.5,0.958083832,0,0,0,0.00105671,0.405776682,0.269162996,0.154631913,0.104614301,0.073265234,0.148643889,0.269813315,0.152965661,33520,0.144609991,0.218716767,0.357695615,46200,1939,0.371453138,1998.141918
36029002702,44.7,0.262860728,0.006587202,0.490903388,0,0.019761606,0.533877039,0.540286482,0.139272271,0.153074028,0.143036386,0.077164366,0.120138018,0.284897025,18554,0.081549439,0.51944793,0.51804878,34300,1939,0.592195122,3515.469499
36029002800,47.9,0.553158706,0.010785824,0.054956343,0,0.045711351,0.480225989,0.306025728,0.139702106,0.156137648,0.126861839,0.165896251,0.138674884,0.341110217,14861,0.133647799,0.586990191,0.665853659,36300,1939,0.731707317,1670.814383
36029003301,43.5,0.929997266,0,0,0,0.013125513,0.416735029,0.31025641,0.126606508,0.075745146,0.115942029,0.121684441,0.2707137,0.141285956,29140,0.127375088,0.352739726,0.459807074,66500,1939,0.519614148,5237.514179
36029002900,46.1,0.835164835,0,0.033545402,0,0.028340081,0.352226721,0.252688172,0.14459225,0.117408907,0.101214575,0.12724118,0.201272412,0.186717998,27313,0.177966102,0.394045534,0.437094682,36800,1939,0.575875486,2220.524116
36029003000,42.8,0.649837134,0,0.081840391,0,0.021579805,0.391693811,0.255197505,0.191368078,0.102198697,0.086319218,0.136807818,0.231677524,0.154894672,25430,0.096947935,0.314332248,0.404140414,42900,1939,0.560756076,1722.880193
36029003100,45.3,0.770020534,0,0,0,0.089117043,0.489527721,0.300578035,0.178644764,0.084599589,0.102258727,0.147843943,0.301848049,0.286941581,26739,0.107411386,0.24028103,0.530737705,80900,1939,0.681352459,1625.424713
36029003600,47.2,0.864366915,0,0.035280282,0,0.051744414,0.490395923,0.235450911,0.272050176,0.092904743,0.143865151,0.166993336,0.177969424,0.24554776,25930,0.183006536,0.378283026,0.456747405,32300,1939,0.557958478,2023.334576
36029003302,45.6,0.896664249,0.002538071,0.050761421,0,0.05039884,0.42893401,0.230593607,0.165699782,0.10551124,0.079405366,0.137055838,0.26831037,0.160421546,23862,0.086997194,0.32559826,0.444121916,38800,1939,0.647314949,2779.00371
36029003400,47,0.858662614,0.011018237,0.027355623,0,0.003419453,0.377279635,0.250738916,0.159194529,0.115881459,0.100683891,0.159574468,0.20668693,0.140947075,23582,0.095472441,0.396096441,0.558287074,38400,1939,0.60666138,1755.286868
36029003500,46.9,0.900941751,0,0.015695849,0,0.007673526,0.448552494,0.292231256,0.156609697,0.104638995,0.130449948,0.147192187,0.183118242,0.18556701,22348,0.136060894,0.325078479,0.400429799,43300,1939,0.614613181,1805.426986
36029003901,45.9,0.880923451,0,0,0,0.014580802,0.510328068,0.310296192,0.115431349,0.041312272,0.156743621,0.181044957,0.347509113,0.122186495,22649,0.183544304,0.335358445,0.246049661,51200,1939,0.469525959,1587.454672
36029005700,40.8,0.146621203,0.012709237,0.119342839,0,0.357408555,0.434283943,0.366942149,0.192188469,0.127402356,0.123682579,0.118722877,0.109733416,0.16930639,20575,0.011340206,0.590514569,0.46562228,54400,1944,0.730200174,3365.805461
36029005900,39,0.143329098,0.010419314,0.081575604,0,0.227700127,0.451080051,0.25683429,0.216010165,0.145870394,0.09656925,0.089453621,0.167217281,0.24457429,24844,0.074385511,0.431003812,0.570665083,56300,1939,0.666270784,2592.397391
36029016400,42.3,0.471925134,0,0.02907754,0,0.201871658,0.421457219,0.313258051,0.164772727,0.119986631,0.134358289,0.148395722,0.190508021,0.233891426,30708,0.096965211,0.350601604,0.472567666,56800,1939,0.702999268,1161.630476
36029016700,33.5,0.028345725,0.07063197,0,0,0.045074349,0.423327138,0.348928974,0.135223048,0.12035316,0.094330855,0.189126394,0.276951673,0.160268129,37813,0.089270386,0.125526932,0.268535262,69400,1939,0.400542495,1127.35083
